AFFAIRE;POINT;PRESTATION;PRS_OPTION;FOURNISSEUR;STATUT;ETAT_EXTERNE;ETAT_INTERNE;DATE_DEMANDE;DATE_EFFET;MOD_RDV;MEDIA;REGION;TERRITOIRE;SGEL;GINKO;STR_TAR_ST_FORTARACH
A04RL55P;07449493401697;F180;;EDF Commerce;AFF-ENCOURS;Intervention re-planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ile de France;M100 - Paris tour Eiffel (074);O;O;BTINFMU4
A04RLEKV;21214761062627;F180;;EDF Commerce;AFF-ENCOURS;Intervention re-planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ile de France;M100 - Cergy (212);O;O;BTINFCU4
A04RLDSG;21180752405112;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ile de France;M100 - Versailles (211);O;O;BTINFMU4
A04RLGNA;07443704769310;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ile de France;M100 - Paris tour Eiffel (074);O;O;BTINFCU4
A04RLGV2;14685094063921;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ouest;M100 - Iroise (146);O;O;BTINFCU4
A04RLIK8;14579015859358;F180;;EDF Commerce;AFF-ENCOURS;Intervention re-planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ouest;M100 - Cotes d'Armor (145);O;O;BTINFMU4
A04RLLW9;01192040510561;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Manche Mer du Nord;M100 - Lille metropole (011);O;O;BTINFMU4
A04RLLSU;05203039049960;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Est;M100 - Nancy Lorraine (051);O;O;BTINFMU4
A04RLN3I;21268306734396;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Manche Mer du Nord;M100 - Oise (016);O;O;BTINFMU4
A04RLNN0;04270622281196;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Est;M100 - Ardennes (042);O;O;BTINFCU4
A04RLPJY;19128219967577;F180;;EDF Commerce;AFF-ENCOURS;Intervention re-planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Rhône Alpes Bourgogne;M100 - Lyon metropole (191);O;O;BTINFMU4
