POINT;TYPE_CODE;PAS
01179305258639;CDC;PT30M
01381910272005;CDC;PT30M
01451230084589;CDC;PT30M
01486830657453;CDC;PT30M
01643994133051;CDC;PT30M
02135745212979;CDC;PT30M
02181186576995;CDC;PT30M
02464833544061;CDC;PT30M
05119247465189;CDC;PT30M
05250217040540;CDC;PT30M
05572214109615;CDC;PT30M
05669175070370;CDC;PT30M
05675108500060;CDC;PT30M
07287843662027;CDC;PT30M
07403183723843;CDC;PT30M
07463820477616;CDC;PT30M
09107669988887;CDC;PT10M
09218379146852;CDC;PT30M
09335600519758;CDC;PT30M
09371635220723;CDC;PT30M
09399855181041;CDC;PT30M
09496671457693;CDC;PT30M
09531548431534;CDC;PT30M
09536179446099;CDC;PT30M
09748191014304;CDC;PT30M
09756005777723;CDC;PT30M
12153400849464;CDC;PT10M
12217221344152;CDC;PT30M
14275108358397;CDC;PT30M
14304920380729;CDC;PT30M
14308104182046;CDC;PT30M
14327351567050;CDC;PT30M
14422575947874;CDC;PT30M
14442402215774;CDC;PT30M
14448480386766;CDC;PT30M
14496237242605;CDC;PT30M
14569030338565;CDC;PT30M
14594066541150;CDC;PT30M
14660636716370;CDC;PT30M
14793342960824;CDC;PT30M
15246743746980;CDC;PT30M
15263965170499;CDC;PT30M
16177134468970;CDC;PT30M
16182778442110;CDC;PT30M
16397105624143;CDC;PT30M
16479160546304;CDC;PT30M
16479160546304;CDC;PT30M
17283936296708;CDC;PT30M
17331982607602;CDC;PT30M
17547756842679;CDC;PT30M
19176989852895;CDC;PT30M
19305209840201;CDC;PT30M
19338205477824;CDC;PT10M
19353690229503;CDC;PT10M
19354124359680;CDC;PT10M
19414182308292;CDC;PT30M
19524167837073;CDC;PT30M
19533429743599;CDC;PT10M
19533574461355;CDC;PT10M
19728654078428;CDC;PT30M
19728654078428;CDC;PT30M
21118957940780;CDC;PT30M
21161070836003;CDC;PT30M
21194066528101;CDC;PT30M
21198986938308;CDC;PT30M
21203038976603;CDC;PT30M
21250361780543;CDC;PT30M
21297684350559;CDC;PT30M
21395224308792;CDC;PT10M
21454413852561;CDC;PT30M
21497394979267;CDC;PT30M
21513313904378;CDC;PT30M
22155860965682;CDC;PT30M
22172214133039;CDC;PT30M
22204486187621;CDC;PT30M
22334153255853;CDC;PT30M
22511143231307;CDC;PT30M
23172069392409;CDC;PT30M
23220115728613;CDC;PT30M
23228654051116;CDC;PT30M
23237626590622;CDC;PT30M
23297684467109;CDC;PT30M
23353545558208;CDC;PT30M
23384225730880;CDC;PT10M
23399999954650;CDC;PT30M
23532561466909;CDC;PT30M
24223733709475;CDC;PT30M
24576700332637;CDC;PT30M
24589869739500;CDC;PT30M
25166280611219;CDC;PT30M
25289435537576;CDC;PT10M
25296816159699;CDC;PT10M
25372792888198;CDC;PT10M
25382923194186;CDC;PT30M
25443849481545;CDC;PT30M
25447033188698;CDC;PT30M
25832561445765;CDC;PT10M
25895079531085;CDC;PT10M
01435889990206;CDC;PT30M
01547033241373;CDC;PT30M
02176410954713;CDC;PT30M
02375687405337;CDC;PT30M
02375976796580;CDC;PT30M
02531837913483;CDC;PT30M
02531837913483;CDC;PT30M
04118234431064;CDC;PT30M
04543849468924;CDC;PT30M
04577423999630;CDC;PT30M
04594356002640;CDC;PT30M
05537192405665;CDC;PT30M
06375976779377;CDC;PT30M
06377279246245;CDC;PT30M
06478726410151;CDC;PT30M
07140086808580;CDC;PT30M
07374674379939;CDC;PT30M
07418379096672;CDC;PT30M
07488422521341;CDC;PT30M
09262373358060;CDC;PT30M
09394211284338;CDC;PT30M
09761649775471;CDC;PT30M
12167872642991;CDC;PT30M
12475108489996;CDC;PT30M
12526917500216;CDC;PT30M
12532127327625;CDC;PT30M
14247467230794;CDC;PT30M
14289724998141;CDC;PT30M
14295224112170;CDC;PT30M
14372937755803;CDC;PT30M
14372937755803;CDC;PT30M
14444138907602;CDC;PT30M
14444138907602;CDC;PT30M
14447467353081;CDC;PT30M
14483791522833;CDC;PT10M
14483791522833;CDC;PT30M
14516931908940;CDC;PT30M
14580607774412;CDC;PT30M
14613603448753;CDC;PT30M
14613892829550;CDC;PT30M
14613892829550;CDC;PT30M
14790882725546;CDC;PT30M
14822141739979;CDC;PT30M
14840665586535;CDC;PT30M
14840665586535;CDC;PT30M
14855426911020;CDC;PT30M
14881476018370;CDC;PT30M
15202604890319;CDC;PT10M
15224891401860;CDC;PT30M
15253690237378;CDC;PT30M
15295368950038;CDC;PT30M
15582778543026;CDC;PT30M
16111866699043;CDC;PT30M
16193342784099;CDC;PT30M
16457597580049;CDC;PT30M
16476989854036;CDC;PT10M
17539652666015;CDC;PT10M
17667004307079;CDC;PT30M
17927351658940;CDC;PT30M
17935166400710;CDC;PT30M
19161794492998;CDC;PT30M
19198697484352;CDC;PT30M
19308538285965;CDC;PT10M
19405643965626;CDC;PT30M
